人弔	人弔 伄
亻弔	亻弔 伄
人屯	人屯 伅
亻屯	亻屯 伅
人勿	人勿 伆
亻勿	亻勿 伆
人殳	人殳 伇
亻殳	亻殳 伇
人心	人心 伈
亻心	亻心 伈
人亢	人亢 伉
亻亢	亻亢 伉
人尹	人尹 伊
亻尹	亻尹 伊
人及	人及 伋
亻及	亻及 伋
人厄	人厄 伌
亻厄	亻厄 伌
人五	人五 伍
亻五	亻五 伍
人支	人支 伎
亻支	亻支 伎
人犬	人犬 伏
亻犬	亻犬 伏
人戈	人戈 伐
亻戈	亻戈 伐
人木	人木 休
亻木	亻木 休
人斤	人斤 伒
亻斤	亻斤 伒
人不	人不 伓
亻不	亻不 伓
人冗	人冗 伔
亻冗	亻冗 伔
人夫	人夫 伕
亻夫	亻夫 伕
人友	人友 伖
亻友	亻友 伖
人火	人火 伙
亻火	亻火 伙
人卆	人卆 伜
亻卆	亻卆 伜
人牙	人牙 伢
亻牙	亻牙 伢
人勻	人勻 伨
亻勻	亻勻 伨
人文	人文 伩
亻文	亻文 伩
人玄	人玄 伭
亻玄	亻玄 伭
人奴	人奴 伮
亻奴	亻奴 伮
人白	人白 伯
亻白	亻白 伯
人古	人古 估
亻古	亻古 估
人尒	人尒 伱
亻尒	亻尒 伱
人尼	人尼 伲
亻尼	亻尼 伲
人世	人世 伳
亻世	亻世 伳
人半	人半 伴
人四	人四 伵
亻四	亻四 伵
人令	人令 伶
亻令	亻令 伶
人由	人由 伷
亻由	亻由 伷
人申	人申 伸
亻申	亻申 伸
人且	人且 伹
亻且	亻且 伹
人司	人司 伺
亻司	亻司 伺
人平	人平 伻
亻平	亻平 伻
人以	人以 似
亻以	亻以 似
人加	人加 伽
亻加	亻加 伽
人丕	人丕 伾
亻丕	亻丕 伾
人只	人只 伿
亻只	亻只 伿
人尸乛一	人尸乛一 佀
亻尸乛一	亻尸乛一 佀
人台	人台 佁
亻台	亻台 佁
人正	人正 佂
亻正	亻正 佂
人田	人田 佃
亻田	亻田 佃
人甘	人甘 佄
亻甘	亻甘 佄
人未	人未 佅
亻未	亻未 佅
人旦	人旦 但
亻旦	亻旦 但
人宁	人宁 佇
亻宁	亻宁 佇
人布	人布 佈
亻布	亻布 佈
人去	人去 佉
亻去	亻去 佉
人皮	人皮 佊
亻皮	亻皮 佊
人召	人召 佋
亻召	亻召 佋
人此	人此 佌
亻此	亻此 佌
人立	人立 位
亻立	亻立 位
人氐	人氐 低
亻氐	亻氐 低
人主	人主 住
亻主	亻主 住
人左	人左 佐
亻左	亻左 佐
人右	人右 佑
亻右	亻右 佑
人央	人央 佒
亻央	亻央 佒
人占	人占 佔
亻占	亻占 佔
人可	人可 何
亻可	亻可 何
人必	人必 佖
亻必	亻必 佖
人它	人它 佗
亻它	亻它 佗
人示	人示 佘
人于八	人于八 余
人失	人失 佚
亻失	亻失 佚
人弗	人弗 佛
亻弗	亻弗 佛
人乍	人乍 作
亻乍	亻乍 作
人句	人句 佝
亻句	亻句 佝
人二女	人二女 佞
亻二女	亻二女 佞
人冬	人冬 佟
亻冬	亻冬 佟
人尔	人尔 你
亻尔	亻尔 你
人仚	人仚 佡
亻仚	亻仚 佡
人巨	人巨 佢
亻巨	亻巨 佢
人用	人用 佣
亻用	亻用 佣
人瓦	人瓦 佤
亻瓦	亻瓦 佤
人卡	人卡 佧
亻卡	亻卡 佧
人几帀	人几帀 佩
亻几帀	亻几帀 佩
人回	人回 佪
亻回	亻回 佪
人各	人各 佫
亻各	亻各 佫
人老	人老 佬
亻老	亻老 佬
人夅	人夅 佭
亻夅	亻夅 佭
人合	人合 佮
亻合	亻合 佮
人羊	人羊 佯
亻羊	亻羊 佯
人百	人百 佰
亻百	亻百 佰
人一正	人一正 佱
亻一正	亻一正 佱
人名	人名 佲
亻名	亻名 佲
人圭	人圭 佳
亻圭	亻圭 佳
人圭	人圭 佳
人土土	人土土 佳
人圭	人圭 佳
亻圭	亻圭 佳
人圭	人圭 佳
亻土土	亻土土 佳
人耳	人耳 佴
亻耳	亻耳 佴
人并	人并 併
亻并	亻并 併
人并	人并 併
人幷	人幷 併
人并	人并 併
亻并	亻并 併
人并	人并 併
亻幷	亻幷 併
人吉	人吉 佶
亻吉	亻吉 佶
人艮	人艮 佷
亻艮	亻艮 佷
人舌	人舌 佸
亻舌	亻舌 佸
人危	人危 佹
亻危	亻危 佹
人全	人全 佺
亻全	亻全 佺
人兆	人兆 佻
亻兆	亻兆 佻
人交	人交 佼
亻交	亻交 佼
人次	人次 佽
亻次	亻次 佽
人八月	人八月 佾
亻八月	亻八月 佾
人八月	人八月 佾
人八肉	人八肉 佾
人八月	人八月 佾
亻八月	亻八月 佾
人八月	人八月 佾
亻八肉	亻八肉 佾
人吏	人吏 使
亻吏	亻吏 使
人刑	人刑 侀
亻刑	亻刑 侀
人先	人先 侁
亻先	亻先 侁
人广乇	人广乇 侂
亻广乇	亻广乇 侂
人口川	人口川 侃
亻口川	亻口川 侃
人至	人至 侄
亻至	亻至 侄
人亥	人亥 侅
亻亥	亻亥 侅
木人人	木人人 來
一人人丨人	一人人丨人 來
人夷	人夷 侇
亻夷	亻夷 侇
人多	人多 侈
亻多	亻多 侈
人夸	人夸 侉
亻夸	亻夸 侉
人光	人光 侊
亻光	亻光 侊
人列	人列 例
亻列	亻列 例
今云	今云 侌
人寺	人寺 侍
亻寺	亻寺 侍
人米	人米 侎
亻米	亻米 侎
人朱	人朱 侏
亻朱	亻朱 侏
人血	人血 侐
亻血	亻血 侐
人有	人有 侑
亻有	亻有 侑
人安	人安 侒
亻安	亻安 侒
人聿	人聿 侓
亻聿	亻聿 侓
人牟	人牟 侔
亻牟	亻牟 侔
人而	人而 侕
亻而	亻而 侕
人一冊	人一冊 侖
人同	人同 侗
